id,category,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,rows_id,rank
4596,courier_code,ICS,ICS,,,,,,,,,,,,,,,,,,,,1000
4597,courier_code,CAINIAO,CAINIAO,,,,,,,,,,,,,,,,,,,,1000
4598,courier_code,HWATONG,HWATONG,,,,,,,,,,,,,,,,,,,,1000
4599,courier_code,ESTLA,ESTLA,,,,,,,,,,,,,,,,,,,,1000
4600,courier_code,IK DISTRIBUTION,IK,,,,,,,,,,,,,,,,,,,,1000
4601,courier_code,PULMUONE WATER,PULMUONEWATER,,,,,,,,,,,,,,,,,,,,1000
4602,courier_code,TSG Logistics,TSG,,,,,,,,,,,,,,,,,,,,1000
4603,courier_code,ocs Korea,OCS,,,,,,,,,,,,,,,,,,,,1000
4604,courier_code,MDLOGIS,MDLOGIS,,,,,,,,,,,,,,,,,,,,1000
4605,courier_code,GCS,GCS,,,,,,,,,,,,,,,,,,,,1000
4606,courier_code,Logistics Daejang,FTF,,,,,,,,,,,,,,,,,,,,1000
4607,courier_code,Hubnet Logistics,HUBNET,,,,,,,,,,,,,,,,,,,,1000
4608,courier_code,Winion Losis,WINION_3P,,,,,,,,,,,,,,,,,,,,1000
4609,courier_code,Woori HanBang Logistics,WOORIHB,,,,,,,,,,,,,,,,,,,,1000
4610,courier_code,Letus,LETUS,,,,,,,,,,,,,,,,,,,,1000
4611,courier_code,JWTNL,JWTNL,,,,,,,,,,,,,,,,,,,,1000
4612,courier_code,JCLS,JCLS,,,,,,,,,,,,,,,,,,,,1000
4613,courier_code,GKGLOBAL,GKGLOBAL,,,,,,,,,,,,,,,,,,,,1000
4614,courier_code,GONELO,GONELO,,,,,,,,,,,,,,,,,,,,1000
